Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
2000000, 200.00, 40.00, 2.00, 0.00, 1.52, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00, -15.00, 0.00, 92.19, 300.52, 310.08, 13.78, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, -0.00, 0.79, 17.00, 0.00, 0.79, -0.00, -16.21, -0.00, 40.22, 352.55, 361.99, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, -0.00, 2.79, 19.00, 0.00, 2.79, -0.00, -16.21, -0.00, 40.22, 352.55, 361.99, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 4.79, 21.00, 0.00, 4.79, 0.00, -16.21, 0.00, 40.22, 352.55, 361.99, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 6.79, 23.00, 0.00, 6.79, 0.00, -16.21, 0.00, 40.22, 352.55, 361.99, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 8.79, 25.00, 0.00, 8.79, 0.00, -16.21, 0.00, 40.22, 352.55, 361.99, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, -0.00, 10.79, 27.00, 0.00, 10.79, -0.00, -16.21, -0.00, 40.22, 352.55, 361.99, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 12.79, 29.00, 0.00, 12.79, 0.00, -16.21, 0.00, 40.22, 352.55, 361.99, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, -0.00, 14.79, 31.00, 0.00, 14.79, -0.00, -16.21, -0.00, 40.22, 352.55, 361.99, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, -0.00, 16.79, 33.00, 0.00, 16.79, -0.00, -16.21, -0.00, 40.22, 352.55, 361.99, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 18.79, 35.00, 0.00, 18.79, 0.00, -16.21, 0.00, 40.22, 352.55, 361.99, 16.09, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, -0.00, -0.00, 37.00, 0.00, 0.00, -0.00, -37.00, -0.00, -1484.99, 1879.26, 1886.63, 83.85, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, 0.00, 0.00, 39.00, 0.00, 0.00, 0.00, -39.00, 0.00, -1693.03, 2087.51, 2096.10, 93.16, 1
2000000, 200.00, 40.00, 2.00, 0.00, 1.53, -0.00, -0.00, 41.00, 0.00, 0.00, -0.00, -41.00, -0.00, -1915.13, 2309.82, 2316.60, 102.96, 1
25231, 2.52, 40.00, 4.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -34.55, 36.23, 1.98, 0
2000000, 200.00, 40.00, 4.00, 0.00, 1.08, 0.10, 1.52, 3.00, 0.00, -3.09, 2.44, -6.09, 2.44, 334.32, 65.69, 72.60, 3.96, 0
2000000, 200.00, 40.00, 4.00, 0.00, 1.50, 0.00, -0.00, 5.00, 0.00, -0.00, 0.00, -5.00, 0.00, 360.10, 32.38, 42.11, 2.30, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, -0.00, 0.00, 7.00, 0.00, 0.00, -0.00, -7.00, -0.00, 319.68, 72.86, 82.53, 4.50, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, 0.00, 9.00, 0.00, 0.00, 0.00, -9.00, 0.00, 265.94, 126.68, 136.43, 7.44, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, 0.00, 0.00, 11.00, 0.00, 0.00, 0.00, -11.00, 0.00, 198.53, 194.19, 203.81, 11.12, 1
2000000, 200.00, 40.00, 4.00, 0.00, 1.51, -0.00, 0.00, 13.00, 0.00, 0.00, -0.00, -13.00, -0.00, 117.51, 275.33, 284.66, 15.53, 1
