Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, 0.00, -0.00, 31.00, 0.00, 0.01, -0.00, -30.99, -0.00, 255.12, 137.31, 147.09, 2.94, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, 0.00, -0.00, 33.00, 0.00, -0.00, -0.00, -33.00, -0.00, 235.41, 157.02, 166.80, 3.34, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, 0.00, 0.00, 35.00, 0.00, 0.00, -0.00, -35.00, -0.00, 214.65, 177.79, 187.56, 3.75, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, 0.00, -0.00, 37.00, 0.00, 0.00, -0.00, -37.00, -0.00, 192.58, 199.86, 209.63, 4.19, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, 0.00, 0.00, 39.00, 0.00, -0.00, -0.00, -39.00, -0.00, 169.30, 223.15, 232.91, 4.66, 1
2000000, 200.00, 40.00, -4.00, 0.00, 1.55, 0.00, 0.00, 41.00, 0.00, 0.00, -0.00, -41.00, -0.00, 144.81, 247.64, 257.40, 5.15, 1
48623, 4.86, 40.00, -2.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -75.46, 78.49, 1.96, 0
77339, 7.73, 40.00, -2.00, 0.00, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, -13.53, 17.18, 0.43, 0
2000000, 200.00, 40.00, -2.00, 0.00, 0.97, 0.00, 2.56, 5.00, 0.00, -20.44, 15.60, -25.44, 15.60, -61.79, 548.90, 545.50, 13.64, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.53, 0.00, -0.00, 7.00, 0.00, 0.09, -0.00, -6.91, -0.00, 372.97, 19.44, 29.24, 0.73, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.54, 0.00, 0.00, 9.00, 0.00, 0.00, -0.00, -9.00, -0.00, 352.60, 39.82, 49.61, 1.24, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.54, 0.00, 0.00, 11.00, 0.00, -0.00, -0.00, -11.00, -0.00, 328.10, 64.33, 74.11, 1.85, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.54, 0.00, -0.00, 13.00, 0.00, -0.00, -0.00, -13.00, -0.00, 298.70, 93.74, 103.51, 2.59, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.54, 0.00, 0.00, 15.00, 0.00, -0.00, -0.00, -15.00, -0.00, 264.40, 128.05, 137.81, 3.45, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.54, 0.00, 0.00, 17.00, 0.00, -0.00, -0.00, -17.00, -0.00, 225.20, 167.26, 177.01, 4.43, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.54, 0.00, -0.00, 19.00, 0.00, -0.00, -0.00, -19.00, -0.00, 181.10, 211.38, 221.11, 5.53, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.54, 0.00, 0.00, 21.00, 0.00, -0.00, -0.00, -21.00, -0.00, 132.10, 260.39, 270.11, 6.75, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, -0.00, 23.00, 0.00, -0.00, -0.00, -23.00, -0.00, 78.20, 314.31, 324.01, 8.10, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, 0.14, 25.00, 0.00, 0.13, -0.00, -24.87, -0.00, 23.42, 369.10, 378.79, 9.47, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, 0.00, 27.00, 0.00, -0.00, -0.00, -27.00, -0.00, -44.30, 436.85, 446.51, 11.16, 1
2000000, 200.00, 40.00, -2.00, 0.00, 1.55, 0.00, -0.00, 29.00, 0.00, -0.00, -0.00, -29.00, -0.00, -112.90, 505.47, 515.11, 12.88, 1
