step        alpha       action      reward        Q[s+0]      Q[s+1]      Q[s+2]
179000      19.000000     0     0.010733     244.702391     244.701325     244.593902
180000      18.000000     2     0.012158     244.697015     244.702562     244.751278
181000      19.000000     0     0.013535     244.702397     244.701325     244.593902
182000      18.000000     2     0.015126     244.697015     244.702562     244.751274
183000      19.000000     0     0.016648     244.702403     244.701325     244.593902
184000      18.000000     2     0.018381     244.697015     244.702562     244.751271
185000      19.000000     0     0.020018     244.702409     244.701325     244.593902
186000      18.000000     2     0.021857     244.697015     244.702562     244.751268
187000      19.000000     0     0.023573     244.702416     244.701325     244.593902
188000      18.000000     0     0.025475     244.697015     244.702562     244.751265
189000      16.000000     2     0.027229     244.688944     244.684947     244.691453
190000      18.000000     2     0.029147     244.697017     244.702562     244.751265
191000      19.000000     0     0.030896     244.702418     244.701325     244.593902
192000      18.000000     2     0.032786     244.697017     244.702562     244.751263
193000      19.000000     0     0.034490     244.702426     244.701325     244.593902
194000      18.000000     2     0.036313     244.697017     244.702562     244.751262
195000      19.000000     0     0.037938     244.702434     244.701325     244.593902
196000      18.000000     2     0.039661     244.697017     244.702562     244.751260
197000      19.000000     0     0.041180     244.702443     244.701325     244.593902
198000      18.000000     2     0.042779     244.697017     244.702562     244.751260
199000      19.000000     2     0.044176     244.702452     244.701325     244.593902
200000      20.000000     0     0.045247     244.664556     244.479843     0.000000
201000      19.000000     0     0.046492     244.702452     244.701325     244.593914
202000      18.000000     2     0.047792     244.697017     244.702562     244.751248
203000      19.000000     0     0.048908     244.702462     244.701325     244.593914
204000      18.000000     2     0.050069     244.697017     244.702562     244.751248
205000      19.000000     0     0.051058     244.702471     244.701325     244.593914
206000      18.000000     2     0.052084     244.697017     244.702562     244.751248
207000      19.000000     1     0.052950     244.702481     244.701325     244.593914
208000      19.000000     0     0.053759     244.702481     244.701330     244.593914
209000      18.000000     2     0.054597     244.697017     244.702562     244.751248
210000      19.000000     0     0.055296     244.702492     244.701330     244.593914
211000      18.000000     2     0.056020     244.697017     244.702562     244.751249
212000      19.000000     0     0.056617     244.702502     244.701330     244.593914
213000      18.000000     2     0.057238     244.697017     244.702562     244.751250
214000      19.000000     0     0.057745     244.702513     244.701330     244.593914
215000      18.000000     2     0.058273     244.697017     244.702562     244.751250
216000      19.000000     0     0.058697     244.702523     244.701330     244.593914
217000      18.000000     2     0.059142     244.697017     244.702562     244.751251
218000      19.000000     0     0.059495     244.702534     244.701330     244.593914
219000      18.000000     2     0.059867     244.697017     244.702562     244.751252
220000      19.000000     0     0.060155     244.702545     244.701330     244.593914
221000      18.000000     2     0.060463     244.697017     244.702562     244.751254
222000      19.000000     0     0.060695     244.702556     244.701330     244.593914
223000      18.000000     2     0.060947     244.697017     244.702562     244.751255
224000      19.000000     0     0.061131     244.702567     244.701330     244.593914
225000      18.000000     2     0.061333     244.697017     244.702562     244.751256
226000      19.000000     0     0.061475     244.702578     244.701330     244.593914
227000      18.000000     2     0.061635     244.697017     244.702562     244.751257
228000      19.000000     0     0.061740     244.702589     244.701330     244.593914
229000      18.000000     2     0.061865     244.697017     244.702562     244.751259
230000      19.000000     0     0.061939     244.702600     244.701330     244.593914
231000      18.000000     2     0.062033     244.697017     244.702562     244.751260
232000      19.000000     0     0.062081     244.702611     244.701330     244.593914
233000      18.000000     2     0.062148     244.697017     244.702562     244.751261
234000      19.000000     0     0.062175     244.702622     244.701330     244.593914
235000      18.000000     2     0.062221     244.697017     244.702562     244.751263
236000      19.000000     0     0.062230     244.702633     244.701330     244.593914
237000      18.000000     2     0.062259     244.697017     244.702562     244.751264
238000      19.000000     0     0.062254     244.702644     244.701330     244.593914
239000      18.000000     2     0.062270     244.697017     244.702562     244.751265
240000      19.000000     0     0.062254     244.702655     244.701330     244.593914
241000      18.000000     2     0.062261     244.697017     244.702562     244.751267
242000      19.000000     0     0.062238     244.702666     244.701330     244.593914
243000      18.000000     2     0.062240     244.697017     244.702562     244.751268
244000      19.000000     0     0.062213     244.702677     244.701330     244.593914
245000      18.000000     2     0.062212     244.697017     244.702562     244.751269
246000      19.000000     0     0.062185     244.702688     244.701330     244.593914
247000      18.000000     1     0.062186     244.697017     244.702562     244.751271
248000      18.000000     2     0.062190     244.697017     244.702573     244.751271
249000      19.000000     0     0.062169     244.702694     244.701330     244.593914
250000      18.000000     2     0.062180     244.697017     244.702573     244.751272
251000      19.000000     0     0.062168     244.702706     244.701330     244.593914
252000      18.000000     2     0.062189     244.697017     244.702573     244.751273
253000      19.000000     0     0.062189     244.702717     244.701330     244.593914
254000      18.000000     2     0.062226     244.697017     244.702573     244.751275
255000      19.000000     0     0.062243     244.702728     244.701330     244.593914
256000      18.000000     2     0.062300     244.697017     244.702573     244.751276
257000      19.000000     0     0.062337     244.702739     244.701330     244.593914
258000      18.000000     2     0.062419     244.697017     244.702573     244.751278
259000      19.000000     0     0.062483     244.702750     244.701330     244.593914
260000      18.000000     2     0.062596     244.697017     244.702573     244.751279
261000      19.000000     0     0.062691     244.702761     244.701330     244.593914
262000      18.000000     2     0.062842     244.697017     244.702573     244.751280
263000      19.000000     0     0.062975     244.702772     244.701330     244.593914
264000      18.000000     2     0.063171     244.697017     244.702573     244.751282
265000      19.000000     0     0.063350     244.702783     244.701330     244.593914
266000      18.000000     2     0.063599     244.697017     244.702573     244.751283
267000      19.000000     0     0.063832     244.702794     244.701330     244.593914
268000      18.000000     2     0.064144     244.697017     244.702573     244.751285
269000      19.000000     0     0.064440     244.702806     244.701330     244.593914
270000      18.000000     2     0.064825     244.697017     244.702573     244.751286
271000      19.000000     0     0.065195     244.702817     244.701330     244.593914
272000      18.000000     2     0.065665     244.697017     244.702573     244.751288
273000      19.000000     0     0.066119     244.702828     244.701330     244.593914
274000      18.000000     2     0.066688     244.697017     244.702573     244.751290
275000      19.000000     0     0.067240     244.702840     244.701330     244.593914
276000      18.000000     2     0.067921     244.697017     244.702573     244.751292
277000      19.000000     0     0.068584     244.702851     244.701330     244.593914
278000      18.000000     2     0.069392     244.697017     244.702573     244.751293
279000      19.000000     0     0.070180     244.702863     244.701330     244.593914
280000      18.000000     2     0.071130     244.697017     244.702573     244.751296
281000      19.000000     2     0.072058     244.702875     244.701330     244.593914
282000      20.000000     0     0.072857     244.664565     244.479843     0.000000
283000      19.000000     0     0.073893     244.702875     244.701330     244.593928
284000      18.000000     2     0.075125     244.697017     244.702573     244.751287
285000      19.000000     0     0.076327     244.702887     244.701330     244.593928
286000      18.000000     2     0.077742     244.697017     244.702573     244.751290
287000      19.000000     0     0.079120     244.702900     244.701330     244.593928
288000      18.000000     2     0.080729     244.697017     244.702573     244.751293
289000      19.000000     0     0.082290     244.702912     244.701330     244.593928
