episode,epsilon,Alpha,steps,return
402,0.900000,0.001000,1000001,32.223839
403,0.900000,0.001000,1000001,28.230111
404,0.900000,0.001000,1000001,116.867225
405,0.900000,0.001000,1000001,29.721313
406,0.900000,0.001000,1000001,32.101967
407,0.900000,0.001000,1000001,87.034182
408,0.900000,0.001000,1000001,86.761044
409,0.900000,0.001000,1000001,86.515209
410,0.900000,0.001000,1000001,85.087643
411,0.900000,0.001000,1000001,86.899747
412,0.900000,0.001000,1000001,86.920551
413,0.900000,0.001000,1000001,86.994117
414,0.900000,0.001000,1000001,103.109806
415,0.900000,0.001000,1000001,95.329621
416,0.900000,0.001000,1000001,208.769660
417,0.900000,0.001000,1000001,177.685096
418,0.900000,0.001000,1000001,216.077225
419,0.900000,0.001000,1000001,235.316414
420,0.900000,0.001000,1000001,133.156542
421,0.900000,0.001000,1000001,109.887796
422,0.900000,0.001000,1000001,84.858474
423,0.900000,0.001000,1000001,225.859655
424,0.900000,0.001000,1000001,241.850551
425,0.900000,0.001000,1000001,238.135660
426,0.900000,0.001000,1000001,148.957613
427,0.900000,0.001000,1000001,217.270209
428,0.900000,0.001000,1000001,227.043996
429,0.900000,0.001000,1000001,225.356021
430,0.900000,0.001000,1000001,228.700758
431,0.900000,0.001000,1000001,200.806061
432,0.900000,0.001000,1000001,202.088380
433,0.900000,0.001000,1000001,223.588487
434,0.900000,0.001000,1000001,227.369866
435,0.900000,0.001000,1000001,225.828997
436,0.900000,0.001000,1000001,160.918201
437,0.900000,0.001000,1000001,231.749411
438,0.900000,0.001000,1000001,134.064618
439,0.900000,0.001000,1000001,192.384265
440,0.900000,0.001000,1000001,108.018989
441,0.900000,0.001000,1000001,86.870406
442,0.900000,0.001000,1000001,82.999527
443,0.900000,0.001000,1000001,86.219632
444,0.900000,0.001000,1000001,87.015535
445,0.900000,0.001000,1000001,107.057822
446,0.900000,0.001000,1000001,85.834411
447,0.900000,0.001000,1000001,105.547027
448,0.900000,0.001000,1000001,83.161634
449,0.900000,0.001000,1000001,83.628751
450,0.900000,0.001000,1000001,85.441133
451,0.900000,0.001000,1000001,82.935299
452,0.900000,0.001000,1000001,83.190246
453,0.900000,0.001000,1000001,50.412889
454,0.900000,0.001000,1000001,78.058823
455,0.900000,0.001000,1000001,71.933691
456,0.900000,0.001000,1000001,71.094081
457,0.900000,0.001000,1000001,60.281241
458,0.900000,0.001000,1000001,86.803540
