step        alpha       action      reward        Q[s+0]      Q[s+1]      Q[s+2]
218000      19.000000     2     0.046213     244.621947     244.620850     244.636028
219000      20.000000     0     0.047118     244.675565     244.627667     0.000000
220000      19.000000     1     0.048192     244.621947     244.620850     244.636037
221000      19.000000     2     0.049228     244.621947     244.620857     244.636037
222000      20.000000     0     0.050018     244.675565     244.627667     0.000000
223000      19.000000     2     0.050958     244.621947     244.620857     244.636046
224000      20.000000     0     0.051669     244.675566     244.627667     0.000000
225000      19.000000     1     0.052520     244.621947     244.620857     244.636055
226000      19.000000     2     0.053336     244.621947     244.620864     244.636055
227000      20.000000     0     0.053942     244.675565     244.627667     0.000000
228000      19.000000     2     0.054675     244.621947     244.620864     244.636064
229000      20.000000     0     0.055214     244.675567     244.627667     0.000000
230000      19.000000     2     0.055871     244.621947     244.620864     244.636074
231000      20.000000     0     0.056348     244.675568     244.627667     0.000000
232000      19.000000     2     0.056936     244.621947     244.620864     244.636083
233000      20.000000     0     0.057358     244.675570     244.627667     0.000000
234000      19.000000     2     0.057883     244.621947     244.620864     244.636093
235000      20.000000     0     0.058255     244.675572     244.627667     0.000000
236000      19.000000     2     0.058724     244.621947     244.620864     244.636103
237000      20.000000     0     0.059051     244.675574     244.627667     0.000000
238000      19.000000     2     0.059472     244.621947     244.620864     244.636112
239000      20.000000     0     0.059760     244.675576     244.627667     0.000000
240000      19.000000     2     0.060137     244.621947     244.620864     244.636122
241000      20.000000     0     0.060391     244.675578     244.627667     0.000000
242000      19.000000     2     0.060730     244.621947     244.620864     244.636132
243000      20.000000     0     0.060955     244.675580     244.627667     0.000000
244000      19.000000     2     0.061262     244.621947     244.620864     244.636142
245000      20.000000     0     0.061461     244.675582     244.627667     0.000000
246000      19.000000     2     0.061742     244.621947     244.620864     244.636152
247000      20.000000     0     0.061920     244.675584     244.627667     0.000000
248000      19.000000     2     0.062178     244.621947     244.620864     244.636162
249000      20.000000     0     0.062340     244.675586     244.627667     0.000000
250000      19.000000     2     0.062581     244.621947     244.620864     244.636173
251000      20.000000     0     0.062730     244.675589     244.627667     0.000000
252000      19.000000     2     0.062957     244.621947     244.620864     244.636183
253000      20.000000     0     0.063097     244.675591     244.627667     0.000000
254000      19.000000     2     0.063315     244.621947     244.620864     244.636193
255000      20.000000     0     0.063450     244.675593     244.627667     0.000000
256000      19.000000     2     0.063664     244.621947     244.620864     244.636203
257000      20.000000     0     0.063797     244.675596     244.627667     0.000000
258000      19.000000     2     0.064010     244.621947     244.620864     244.636214
259000      20.000000     0     0.064146     244.675598     244.627667     0.000000
260000      19.000000     2     0.064363     244.621947     244.620864     244.636224
261000      20.000000     0     0.064504     244.675601     244.627667     0.000000
262000      19.000000     2     0.064730     244.621947     244.620864     244.636234
263000      20.000000     0     0.064881     244.675603     244.627667     0.000000
264000      19.000000     2     0.065120     244.621947     244.620864     244.636245
265000      20.000000     0     0.065285     244.675606     244.627667     0.000000
266000      19.000000     2     0.065542     244.621947     244.620864     244.636255
267000      20.000000     0     0.065725     244.675608     244.627667     0.000000
268000      19.000000     2     0.066006     244.621947     244.620864     244.636266
269000      20.000000     0     0.066212     244.675611     244.627667     0.000000
270000      19.000000     2     0.066522     244.621947     244.620864     244.636276
271000      20.000000     0     0.066756     244.675614     244.627667     0.000000
272000      19.000000     2     0.067102     244.621947     244.620864     244.636287
273000      20.000000     0     0.067370     244.675616     244.627667     0.000000
274000      19.000000     0     0.067757     244.621947     244.620864     244.636297
275000      18.000000     2     0.068240     244.550002     244.580227     244.623176
