t         x_kite          z_kite         x_block          z_block          wind_x       wind_y       v_block_x
339000       57.523733       29.176760      16.919341      0.000000      14.599207      18.299293     22.337092
340000       57.526584       29.484464      17.145073      0.000000      14.753963      18.585062     22.812453
341000       57.526226       29.797982      17.375506      0.000000      14.911651      18.870705     23.276805
342000       57.522500       30.117438      17.610848      0.000000      15.072331      19.155591     23.795019
343000       57.515284       30.442889      17.851314      0.000000      15.236033      19.438931     24.300957
344000       57.504439       30.774403      18.097128      0.000000      15.402787      19.719869     24.865439
345000       57.489870       31.111968      18.348518      0.000000      15.572588      19.997376     25.415589
346000       57.471472       31.455577      18.605720      0.000000      15.745429      20.270343     26.028433
347000       57.449187       31.805135      18.868966      0.000000      15.921260      20.537483     26.623943
348000       57.422949       32.160545      19.138495      0.000000      16.100030      20.797427     27.285392
349000       57.392746       32.521617      19.414536      0.000000      16.281643      21.048629     27.925461
350000       57.358550       32.887895      19.697080      0.000000      16.465865      21.289332     28.586071
351000       57.320314       33.259189      19.986330      0.000000      16.652598      21.517917     29.266665
352000       57.278037       33.635509      20.282733      0.000000      16.841845      21.732762     30.016577
353000       57.231818       34.016455      20.586480      0.000000      17.033401      21.931905     30.734945
354000       57.181750       34.401621      20.897752      0.000000      17.227060      22.113376     31.521337
355000       57.127986       34.790508      21.216699      0.000000      17.422568      22.275135     32.269240
356000       57.070671       35.182617      21.543450      0.000000      17.619670      22.415189     33.082007
357000       57.010012       35.577367      21.878104      0.000000      17.818073      22.531547     33.849022
358000       56.946198       35.974183      22.220730      0.000000      18.017484      22.622325     34.676022
359000       56.879480       36.372423      22.571364      0.000000      18.217579      22.685714     35.450161
360000       56.810091       36.771459      22.930011      0.000000      18.418039      22.720079     36.277960
361000       56.738318       37.170611      23.296642      0.000000      18.618520      22.723932     37.046409
362000       56.664431       37.569219      23.671192      0.000000      18.818691      22.696015     37.861097
363000       56.588750       37.966589      24.053566      0.000000      19.018201      22.635282     38.610965
364000       56.511577       38.362052      24.443634      0.000000      19.216713      22.540959     39.398923
