episode,alpha_idx,action_0,action_1,action_2
25,9,250.000247,250.000014,250.000021
25,10,250.000064,250.000000,250.000000
25,11,250.000012,250.000007,250.000000
25,12,250.000000,250.000000,250.000000
25,13,250.000000,250.000000,250.000000
25,14,250.000000,250.000000,250.000000
25,15,250.000000,250.000000,0.000000

26,0,0.000000,249.554957,249.985725
26,1,249.574216,249.553805,249.671480
26,2,249.399081,249.571184,249.653162
26,3,249.731670,249.725120,249.734045
26,4,249.957333,249.788232,249.768457
26,5,249.793102,249.575881,249.607337
26,6,249.973663,249.793422,249.763864
26,7,250.004777,250.000119,250.000030
26,8,250.000496,250.000027,250.000013
26,9,250.000272,250.000014,250.000021
26,10,250.000064,250.000000,250.000000
26,11,250.000012,250.000007,250.000000
26,12,250.000000,250.000000,250.000000
26,13,250.000000,250.000000,250.000000
26,14,250.000000,250.000000,250.000000
26,15,250.000000,250.000000,0.000000

27,0,0.000000,249.554957,249.985725
27,1,249.574216,249.553805,249.671480
27,2,249.399081,249.571467,249.655201
27,3,249.731112,249.725986,249.561431
27,4,249.900499,249.789844,249.768669
27,5,249.794542,249.576099,249.607337
27,6,249.973506,249.793422,249.763864
27,7,250.004765,250.000119,250.000030
27,8,250.000513,250.000027,250.000013
27,9,250.000279,250.000014,250.000021
27,10,250.000064,250.000000,250.000000
27,11,250.000012,250.000007,250.000000
27,12,250.000000,250.000000,250.000000
27,13,250.000000,250.000000,250.000000
27,14,250.000000,250.000000,250.000000
27,15,250.000000,250.000000,0.000000

28,0,0.000000,249.554957,249.985725
28,1,249.574216,249.553805,249.675263
28,2,249.405682,249.578045,249.529355
28,3,249.807130,249.731485,249.569552
28,4,249.902158,249.789844,249.768669
28,5,249.794677,249.576099,249.607337
28,6,249.973351,249.793422,249.763864
28,7,250.004752,250.000119,250.000030
28,8,250.000530,250.000027,250.000013
28,9,250.000286,250.000014,250.000021
28,10,250.000064,250.000000,250.000000
28,11,250.000012,250.000007,250.000000
28,12,250.000000,250.000000,250.000000
28,13,250.000000,250.000000,250.000000
28,14,250.000000,250.000000,250.000000
28,15,250.000000,250.000000,0.000000

29,0,0.000000,249.554957,249.985725
29,1,249.574216,249.553805,249.673916
29,2,249.412657,249.145696,249.535833
