Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrelz,F_vinc,Tension,Lift,Drag,Stability
2000000, 200.00, 40.00, -2.00, 0.79, 1.55, 0.00, 0.00, 31.00, 0.00, 0.00, 0.00, -31.00, 0.00, -186.44, 579.03, 588.61, 14.72, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.55, 0.00, 0.00, 33.00, 0.00, 0.00, 0.00, -33.00, 0.00, -264.72, 657.33, 667.01, 16.68, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.55, 0.00, 0.00, 35.00, 0.00, 0.00, 0.00, -35.00, 0.00, -348.00, 740.64, 750.31, 18.76, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.55, -0.00, -0.00, 37.00, 0.00, 0.00, -0.00, -37.00, -0.00, -436.40, 829.06, 838.51, 20.96, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.55, 0.00, 0.00, 39.00, 0.00, 0.00, 0.00, -39.00, 0.00, -529.25, 921.95, 931.61, 23.29, 1
2000000, 200.00, 40.00, -2.00, 0.79, 1.55, 0.00, 0.00, 41.00, 0.00, 0.00, 0.00, -41.00, 0.00, -627.22, 1019.95, 1029.61, 25.74, 1
59879, 5.99, 40.00, 0.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, -1.00, 0.00, 392.40, -60.44, 62.35, 1.78, 0
235558, 23.56, 40.00, 0.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00, -3.00, 0.00, 392.40, -1.47, 9.95, 0.28, 0
2000000, 200.00, 40.00, 0.00, 0.79, 1.53, 0.00, -0.00, 5.00, 0.00, -0.01, 0.00, -5.01, 0.00, 375.36, 17.06, 26.85, 0.77, 0
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, -0.00, 0.00, 7.00, 0.00, 0.00, -0.00, -7.00, -0.00, 349.69, 42.74, 52.52, 1.50, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, 0.00, 0.00, 9.00, 0.00, 0.00, 0.00, -9.00, 0.00, 315.39, 77.05, 86.82, 2.48, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, 0.00, 0.00, 11.00, 0.00, 0.00, 0.00, -11.00, 0.00, 272.60, 119.86, 129.70, 3.71, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, 0.00, 0.00, 13.00, 0.00, 0.00, 0.00, -13.00, 0.00, 221.13, 171.34, 181.15, 5.18, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, -0.00, -0.00, 15.00, 0.00, 0.00, -0.00, -15.00, -0.00, 161.00, 231.51, 241.17, 6.89, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, 0.00, 0.00, 17.00, 0.00, 0.00, 0.00, -17.00, 0.00, 92.47, 300.06, 309.77, 8.85, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, 0.00, 0.29, 19.00, 0.00, 0.29, 0.00, -18.71, 0.00, 26.81, 365.74, 375.40, 10.73, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, -0.00, 0.00, 21.00, 0.00, 0.00, -0.00, -21.00, -0.00, -70.50, 463.09, 472.70, 13.51, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, -0.00, -0.00, 23.00, 0.00, 0.00, -0.00, -23.00, -0.00, -164.85, 557.48, 567.02, 16.20, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, 0.00, 0.00, 25.00, 0.00, 0.00, 0.00, -25.00, 0.00, -267.77, 660.45, 669.92, 19.14, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, -0.00, -0.00, 27.00, 0.00, 0.00, -0.00, -27.00, -0.00, -379.28, 772.00, 781.39, 22.33, 1
2000000, 200.00, 40.00, 0.00, 0.79, 1.54, -0.00, 0.00, 29.00, 0.00, 0.00, -0.00, -29.00, -0.00, -499.36, 892.13, 901.44, 25.76, 1
