Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vkitex,Vkitez,Vrelx,Vrely,F_vinc,Tension,Lift,Liftx,Liftz,Drag,Dragx,Dragz,Stability
1000000, 100.00, 100.00, -4.00, 0.79, 1.55, 0.00, 0.00, 39.00, 0.00, -0.16, 0.00,  -39.16, 0.00, 756.02, 225.02, 234.78, 0.02, 234.78, 4.70, 4.70, -0.00, 1
28320, 2.83, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00,  -1.00, 0.00, 981.01, -513.92, 541.06, -540.93, 11.72, 13.53, 0.29, 13.52, 0
28255, 2.83, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 3.00, 0.00, 0.00, 0.00,  -3.00, 0.00, 980.95, 1023.77, 997.71, 997.69, 7.36, 24.94, -0.18, 24.94, 0
233106, 23.31, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00, 0.00,  -5.00, 0.00, 980.98, 413.39, 404.16, 401.68, 44.71, 10.10, -1.12, 10.04, 0
1000000, 100.00, 100.00, -2.00, 0.79, 1.56, 0.00, -0.00, 7.00, 0.00, -1.45, 0.02,  -8.45, 0.02, 946.98, 34.02, 43.78, 0.09, 43.78, 1.09, 1.09, -0.00, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, -0.00, 9.00, 0.00, 0.10, -0.00,  -8.90, -0.00, 942.34, 38.68, 48.47, -0.02, 48.47, 1.21, 1.21, 0.00, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, 0.00, 11.00, 0.00, 0.02, -0.00,  -10.98, -0.00, 917.01, 64.01, 73.80, -0.00, 73.80, 1.84, 1.84, 0.00, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, -0.00, 13.00, 0.00, 0.00, -0.00,  -13.00, -0.00, 887.32, 93.71, 103.49, -0.00, 103.49, 2.59, 2.59, 0.00, 1
46833, 4.68, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00,  -15.00, 0.00, 980.79, 2747.90, 2717.93, 2693.39, 364.45, 67.95, -9.11, 67.33, 0
41305, 4.13, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 17.00, 0.00, 0.00, 0.00,  -17.00, 0.00, 980.88, 3785.03, 3741.67, 3710.77, 479.85, 93.54, -12.00, 92.77, 0
36964, 3.70, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 19.00, 0.00, 0.00, 0.00,  -19.00, 0.00, 980.90, 4983.67, 4924.46, 4886.50, 610.25, 123.11, -15.26, 122.16, 0
