t         x_kite          z_kite         r_block          z_blocco          wind_x       wind_y       v_blocco_x
264000       54.520008       15.265290      6.907290      0.000000      7.624929      4.578476     6.489379
265000       54.556593       15.353710      6.972314      0.000000      7.669095      4.646513     6.515629
266000       54.592953       15.442959      7.037564      0.000000      7.713678      4.715699     6.534459
267000       54.629072       15.533104      7.103051      0.000000      7.758710      4.786105     6.563172
268000       54.664937       15.624206      7.168788      0.000000      7.804224      4.857793     6.584409
269000       54.700532       15.716338      7.234789      0.000000      7.850253      4.930841     6.616159
270000       54.735845       15.809562      7.301071      0.000000      7.896832      5.005317     6.640318
271000       54.770858       15.903954      7.367649      0.000000      7.943996      5.081306     6.675728
272000       54.805562       15.999582      7.434543      0.000000      7.991781      5.158883     6.703368
273000       54.839939       16.096524      7.501773      0.000000      8.040226      5.238138     6.743117
274000       54.873979       16.194851      7.569362      0.000000      8.089366      5.319154     6.774851
275000       54.907666       16.294646      7.637332      0.000000      8.139243      5.402027     6.819683
276000       54.940991       16.395981      7.705710      0.000000      8.189892      5.486847     6.856178
277000       54.973938       16.498945      7.774522      0.000000      8.241359      5.573719     6.906906
278000       55.006498       16.603610      7.843800      0.000000      8.293680      5.662737     6.948890
279000       55.038657       16.710068      7.913573      0.000000      8.346901      5.754013     7.006397
280000       55.070409       16.818395      7.983876      0.000000      8.401060      5.847649     7.054661
281000       55.101739       16.928685      8.054745      0.000000      8.456204      5.943763     7.119906
282000       55.132643       17.041013      8.126219      0.000000      8.512371      6.042462     7.175304
283000       55.163107       17.155477      8.198337      0.000000      8.569610      6.143872     7.249317
284000       55.193131       17.272153      8.271146      0.000000      8.627959      6.248102     7.312757
285000       55.222703       17.391137      8.344687      0.000000      8.687467      6.355285     7.396631
286000       55.251825       17.512504      8.419013      0.000000      8.748171      6.465533     7.469074
287000       55.280486       17.636351      8.494173      0.000000      8.810120      6.578983     7.563953
288000       55.308693       17.762751      8.570222      0.000000      8.873351      6.695748     7.646391
289000       55.336438       17.891798      8.647215      0.000000      8.937911      6.815968     7.753449
