t         x_kite          z_kite         r_block          z_blocco          wind_x       wind_y       v_blocco_x
112000       52.791986       7.120095      3.301540      0.000000      3.556528      0.539853     1.507237
113000       52.808157       7.111028      3.316408      0.000000      3.551978      0.537743     1.466443
114000       52.823908       7.102044      3.330868      0.000000      3.547470      0.535658     1.425704
115000       52.839234       7.093169      3.344922      0.000000      3.543017      0.533605     1.385035
116000       52.854133       7.084430      3.358569      0.000000      3.538632      0.531589     1.344452
117000       52.868601       7.075854      3.371811      0.000000      3.534330      0.529616     1.303971
118000       52.882637       7.067467      3.384648      0.000000      3.530122      0.527692     1.263607
119000       52.896238       7.059295      3.397083      0.000000      3.526022      0.525821     1.223375
120000       52.909401       7.051364      3.409116      0.000000      3.522044      0.524010     1.183291
121000       52.922125       7.043700      3.420749      0.000000      3.518199      0.522264     1.143370
122000       52.934408       7.036330      3.431983      0.000000      3.514502      0.520587     1.103628
123000       52.946248       7.029278      3.442822      0.000000      3.510965      0.518986     1.064080
124000       52.957644       7.022572      3.453265      0.000000      3.507600      0.517465     1.024743
125000       52.968593       7.016238      3.463317      0.000000      3.504422      0.516030     0.985633
126000       52.979096       7.010301      3.472978      0.000000      3.501443      0.514685     0.946765
127000       52.989150       7.004788      3.482253      0.000000      3.498677      0.513437     0.908158
128000       52.998756       6.999727      3.491142      0.000000      3.496137      0.512290     0.869827
129000       53.007911       6.995144      3.499650      0.000000      3.493836      0.511250     0.831792
130000       53.016616       6.991067      3.507779      0.000000      3.491789      0.510323     0.794071
131000       53.024869       6.987525      3.515532      0.000000      3.490009      0.509513     0.756683
132000       53.032671       6.984545      3.522913      0.000000      3.488510      0.508828     0.719649
133000       53.040020       6.982157      3.529926      0.000000      3.487309      0.508272     0.682991
134000       53.046917       6.980392      3.536574      0.000000      3.486418      0.507852     0.646731
135000       53.053362       6.979280      3.542861      0.000000      3.485855      0.507575     0.610894
136000       53.059354       6.978853      3.548793      0.000000      3.485634      0.507447     0.575507
137000       53.064892       6.979143      3.554373      0.000000      3.485772      0.507475     0.540596
138000       53.070004       6.979982      3.559603      0.000000      3.486185      0.507622     0.505427
139000       53.074687       6.981403      3.564486      0.000000      3.486889      0.507896     0.471327
140000       53.078915       6.983651      3.569031      0.000000      3.488007      0.508350     0.437802
141000       53.082688       6.986763      3.573243      0.000000      3.489557      0.508991     0.404888
142000       53.086009       6.990777      3.577130      0.000000      3.491559      0.509829     0.372626
143000       53.088876       6.995735      3.580698      0.000000      3.494032      0.510873     0.341061
144000       53.091291       7.001680      3.583954      0.000000      3.496999      0.512132     0.310243
145000       53.093256       7.008655      3.586905      0.000000      3.500481      0.513619     0.280226
146000       53.094771       7.016707      3.589561      0.000000      3.504501      0.515342     0.251070
147000       53.095838       7.025885      3.591929      0.000000      3.509085      0.517316     0.222841
148000       53.096450       7.036325      3.594025      0.000000      3.514300      0.519571     0.196435
149000       53.096611       7.048082      3.595858      0.000000      3.520173      0.522121     0.170414
150000       53.096330       7.061129      3.597436      0.000000      3.526691      0.524963     0.145564
151000       53.095611       7.075524      3.598773      0.000000      3.533883      0.528113     0.121986
152000       53.094456       7.091330      3.599881      0.000000      3.541781      0.531589     0.099787
153000       53.092892       7.108326      3.600754      0.000000      3.550274      0.535344     0.075008
154000       53.090918       7.126575      3.601404      0.000000      3.559393      0.539398     0.055399
155000       53.088517       7.146435      3.601867      0.000000      3.569317      0.543833     0.037540
156000       53.085694       7.167981      3.602161      0.000000      3.580084      0.548673     0.021585
157000       53.082457       7.191291      3.602306      0.000000      3.591734      0.553942     0.007706
158000       53.078818       7.216448      3.602330      0.000000      3.604306      0.559665     0.000023
159000       53.074859       7.243542      3.602330      0.000000      3.617846      0.565872     0.000000
160000       53.070589       7.272646      3.602330      0.000000      3.632392      0.572590     0.000000
161000       53.065993       7.303840      3.602330      0.000000      3.647982      0.579846     0.000000
162000       53.061055       7.337206      3.602331      0.000000      3.664657      0.587673     0.000242
163000       53.055770       7.372835      3.602345      0.000000      3.682463      0.596105     0.003178
164000       53.050154       7.410824      3.602407      0.000000      3.701449      0.605182     0.009886
165000       53.044225       7.451270      3.602556      0.000000      3.721664      0.614942     0.020701
166000       53.038004       7.494274      3.602836      0.000000      3.743156      0.625430     0.035982
167000       53.031517       7.539933      3.603292      0.000000      3.765976      0.636689     0.056108
168000       53.024791       7.588345      3.603976      0.000000      3.790171      0.648767     0.081479
169000       53.017859       7.639604      3.604941      0.000000      3.815789      0.661713     0.112513
170000       53.010755       7.693801      3.606247      0.000000      3.842876      0.675579     0.149640
171000       53.003519       7.751021      3.607956      0.000000      3.871474      0.690417     0.193300
172000       52.996196       7.811344      3.610136      0.000000      3.901621      0.706281     0.243932
173000       52.988835       7.874837      3.612860      0.000000      3.933354      0.723225     0.301972
174000       52.981490       7.941558      3.616202      0.000000      3.966699      0.741306     0.367836
175000       52.974221       8.011552      3.620245      0.000000      4.001680      0.760577     0.441914
176000       52.967093       8.084849      3.625070      0.000000      4.038311      0.781093     0.524556
177000       52.960175       8.161461      3.630766      0.000000      4.076599      0.802905     0.616057
178000       52.953542       8.241379      3.637422      0.000000      4.116538      0.826063     0.716644
179000       52.947275       8.324574      3.645131      0.000000      4.158116      0.850610     0.826460
180000       52.941458       8.410996      3.653984      0.000000      4.201305      0.876587     0.945551
181000       52.936179       8.500567      3.664074      0.000000      4.246067      0.904029     1.073850
182000       52.931529       8.593186      3.675492      0.000000      4.292352      0.932961     1.211169
183000       52.927601       8.688728      3.688328      0.000000      4.340097      0.963403     1.357191
184000       52.924488       8.787042      3.702665      0.000000      4.389227      0.995365     1.511462
185000       52.922286       8.887954      3.718584      0.000000      4.439653      1.028845     1.673396
186000       52.921086       8.991266      3.736158      0.000000      4.491279      1.063835     1.842277
187000       52.920977       9.096764      3.755452      0.000000      4.543996      1.100311     2.017268
188000       52.922045       9.204216      3.776522      0.000000      4.597687      1.138243     2.197432
189000       52.924369       9.313375      3.799416      0.000000      4.652231      1.177587     2.381744
190000       52.928023       9.423987      3.824169      0.000000      4.707499      1.218290     2.569116
191000       52.933071       9.535792      3.850807      0.000000      4.763362      1.260291     2.758427
192000       52.939570       9.648527      3.879342      0.000000      4.819689      1.303518     2.948540
193000       52.947566       9.761935      3.909778      0.000000      4.876349      1.347894     3.138337
194000       52.957097       9.875762      3.942106      0.000000      4.933218      1.393335     3.326737
195000       52.968190       9.989766      3.976307      0.000000      4.990173      1.439753     3.512720
