step        alpha       action      reward        Q[s+0]      Q[s+1]      Q[s+2]
198000      20.000000     0     0.020501     246.662185     246.622354     0.000000
199000      19.000000     2     0.022092     246.627446     246.627805     246.627908
200000      20.000000     0     0.023425     246.662185     246.622354     0.000000
201000      19.000000     2     0.025051     246.627446     246.627805     246.627909
202000      20.000000     0     0.026401     246.662185     246.622354     0.000000
203000      19.000000     2     0.028035     246.627446     246.627805     246.627910
204000      20.000000     0     0.029379     246.662185     246.622354     0.000000
205000      19.000000     0     0.030996     246.627446     246.627805     246.627910
206000      18.000000     2     0.032768     246.595965     246.596765     246.602029
207000      19.000000     2     0.034383     246.627446     246.627805     246.627910
208000      20.000000     0     0.035683     246.662185     246.622354     0.000000
209000      19.000000     2     0.037228     246.627446     246.627805     246.627911
210000      20.000000     0     0.038461     246.662185     246.622354     0.000000
211000      19.000000     2     0.039921     246.627446     246.627805     246.627912
212000      20.000000     0     0.041076     246.662185     246.622354     0.000000
213000      19.000000     2     0.042441     246.627446     246.627805     246.627912
214000      20.000000     0     0.043511     246.662185     246.622354     0.000000
215000      19.000000     2     0.044775     246.627446     246.627805     246.627913
216000      20.000000     1     0.045757     246.662185     246.622354     0.000000
217000      20.000000     0     0.046685     246.662185     246.622355     0.000000
218000      19.000000     2     0.047785     246.627446     246.627805     246.627914
219000      20.000000     0     0.048628     246.662185     246.622355     0.000000
220000      19.000000     2     0.049628     246.627446     246.627805     246.627914
221000      20.000000     0     0.050389     246.662186     246.622355     0.000000
222000      19.000000     2     0.051295     246.627446     246.627805     246.627915
223000      20.000000     0     0.051977     246.662186     246.622355     0.000000
224000      19.000000     2     0.052794     246.627446     246.627805     246.627916
225000      20.000000     0     0.053402     246.662186     246.622355     0.000000
226000      19.000000     2     0.054136     246.627446     246.627805     246.627917
227000      20.000000     0     0.054676     246.662186     246.622355     0.000000
228000      19.000000     2     0.055334     246.627446     246.627805     246.627918
229000      20.000000     0     0.055812     246.662186     246.622355     0.000000
230000      19.000000     2     0.056401     246.627446     246.627805     246.627919
231000      20.000000     0     0.056823     246.662186     246.622355     0.000000
232000      19.000000     2     0.057349     246.627446     246.627805     246.627920
233000      20.000000     0     0.057721     246.662187     246.622355     0.000000
234000      19.000000     2     0.058190     246.627446     246.627805     246.627921
235000      20.000000     0     0.058517     246.662187     246.622355     0.000000
236000      19.000000     2     0.058937     246.627446     246.627805     246.627921
237000      20.000000     0     0.059225     246.662187     246.622355     0.000000
238000      19.000000     2     0.059601     246.627446     246.627805     246.627922
239000      20.000000     0     0.059854     246.662187     246.622355     0.000000
240000      19.000000     2     0.060192     246.627446     246.627805     246.627923
241000      20.000000     0     0.060415     246.662188     246.622355     0.000000
242000      19.000000     2     0.060721     246.627446     246.627805     246.627924
243000      20.000000     0     0.060918     246.662188     246.622355     0.000000
244000      19.000000     2     0.061196     246.627446     246.627805     246.627925
245000      20.000000     0     0.061373     246.662188     246.622355     0.000000
246000      19.000000     2     0.061628     246.627446     246.627805     246.627926
247000      20.000000     0     0.061787     246.662188     246.622355     0.000000
248000      19.000000     2     0.062024     246.627446     246.627805     246.627927
249000      20.000000     0     0.062170     246.662189     246.622355     0.000000
250000      19.000000     2     0.062393     246.627446     246.627805     246.627928
251000      20.000000     0     0.062529     246.662189     246.622355     0.000000
252000      19.000000     2     0.062743     246.627446     246.627805     246.627929
253000      20.000000     0     0.062873     246.662189     246.622355     0.000000
254000      19.000000     2     0.063081     246.627446     246.627805     246.627930
255000      20.000000     0     0.063210     246.662190     246.622355     0.000000
256000      19.000000     2     0.063417     246.627446     246.627805     246.627931
257000      20.000000     0     0.063546     246.662190     246.622355     0.000000
258000      19.000000     2     0.063756     246.627446     246.627805     246.627932
259000      20.000000     0     0.063891     246.662190     246.622355     0.000000
260000      19.000000     2     0.064108     246.627446     246.627805     246.627933
261000      20.000000     0     0.064252     246.662190     246.622355     0.000000
262000      19.000000     1     0.064482     246.627446     246.627805     246.627934
263000      19.000000     2     0.064725     246.627446     246.627806     246.627934
264000      20.000000     0     0.064894     246.662191     246.622355     0.000000
265000      19.000000     2     0.065156     246.627446     246.627806     246.627935
266000      20.000000     0     0.065345     246.662191     246.622355     0.000000
267000      19.000000     2     0.065632     246.627446     246.627806     246.627936
268000      20.000000     0     0.065844     246.662191     246.622355     0.000000
269000      19.000000     2     0.066162     246.627446     246.627806     246.627937
270000      20.000000     0     0.066403     246.662192     246.622355     0.000000
271000      19.000000     2     0.066757     246.627446     246.627806     246.627938
272000      20.000000     0     0.067034     246.662192     246.622355     0.000000
273000      19.000000     2     0.067431     246.627446     246.627806     246.627939
274000      20.000000     0     0.067749     246.662192     246.622355     0.000000
275000      19.000000     2     0.068197     246.627446     246.627806     246.627940
276000      20.000000     0     0.068562     246.662193     246.622355     0.000000
277000      19.000000     2     0.069069     246.627446     246.627806     246.627941
278000      20.000000     0     0.069489     246.662193     246.622355     0.000000
279000      19.000000     2     0.070064     246.627446     246.627806     246.627942
280000      20.000000     0     0.070547     246.662193     246.622355     0.000000
281000      19.000000     2     0.071199     246.627446     246.627806     246.627943
282000      20.000000     0     0.071753     246.662194     246.622355     0.000000
283000      19.000000     2     0.072493     246.627446     246.627806     246.627944
284000      20.000000     0     0.073128     246.662194     246.622355     0.000000
285000      19.000000     2     0.073966     246.627446     246.627806     246.627945
286000      20.000000     0     0.074691     246.662195     246.622355     0.000000
287000      19.000000     2     0.075640     246.627446     246.627806     246.627946
288000      20.000000     0     0.076464     246.662195     246.622355     0.000000
289000      19.000000     2     0.077534     246.627446     246.627806     246.627947
290000      20.000000     0     0.078469     246.662195     246.622355     0.000000
291000      19.000000     2     0.079673     246.627446     246.627806     246.627948
292000      20.000000     0     0.080727     246.662196     246.622355     0.000000
293000      19.000000     2     0.082076     246.627446     246.627806     246.627950
294000      20.000000     0     0.083260     246.662196     246.622355     0.000000
295000      19.000000     1     0.084764     246.627446     246.627806     246.627951
296000      19.000000     2     0.086378     246.627446     246.627807     246.627951
297000      20.000000     0     0.087794     246.662197     246.622355     0.000000
298000      19.000000     2     0.089574     246.627446     246.627807     246.627952
299000      20.000000     0     0.091136     246.662197     246.622355     0.000000
300000      19.000000     2     0.093089     246.627446     246.627807     246.627953
301000      20.000000     0     0.094800     246.662198     246.622355     0.000000
302000      19.000000     2     0.096929     246.627446     246.627807     246.627955
303000      20.000000     0     0.098790     246.662198     246.622355     0.000000
304000      19.000000     2     0.101074     246.627446     246.627807     246.627956
305000      20.000000     0     0.103085     246.662199     246.622355     0.000000
306000      19.000000     2     0.105479     246.627446     246.627807     246.627957
307000      20.000000     0     0.107636     246.662200     246.622355     0.000000
308000      19.000000     2     0.110136     246.627446     246.627807     246.627959
309000      20.000000     0     0.112384     246.662201     246.622355     0.000000
310000      19.000000     2     0.114984     246.627446     246.627807     246.627960
311000      20.000000     0     0.117317     246.662201     246.622355     0.000000
312000      19.000000     2     0.120015     246.627446     246.627807     246.627962
313000      20.000000     0     0.122430     246.662202     246.622355     0.000000
314000      19.000000     2     0.125222     246.627446     246.627807     246.627963
315000      20.000000     0     0.127718     246.662203     246.622355     0.000000
316000      19.000000     2     0.130604     246.627446     246.627807     246.627965
317000      20.000000     0     0.133181     246.662204     246.622355     0.000000
318000      19.000000     2     0.136163     246.627446     246.627807     246.627966
319000      20.000000     0     0.138824     246.662205     246.622355     0.000000
320000      19.000000     2     0.141905     246.627446     246.627807     246.627968
321000      20.000000     0     0.144655     246.662206     246.622355     0.000000
322000      19.000000     2     0.147844     246.627446     246.627807     246.627970
323000      20.000000     0     0.150690     246.662207     246.622355     0.000000
324000      19.000000     2     0.153997     246.627446     246.627807     246.627972
325000      20.000000     0     0.156951     246.662208     246.622355     0.000000
326000      19.000000     2     0.160389     246.627446     246.627807     246.627973
327000      20.000000     0     0.163465     246.662209     246.622355     0.000000
328000      19.000000     2     0.167053     246.627446     246.627807     246.627975
329000      20.000000     0     0.170266     246.662211     246.622355     0.000000
330000      19.000000     2     0.174026     246.627446     246.627807     246.627977
331000      20.000000     0     0.177398     246.662212     246.622355     0.000000
332000      19.000000     2     0.181354     246.627446     246.627807     246.627980
333000      20.000000     0     0.184908     246.662214     246.622355     0.000000
334000      19.000000     2     0.189090     246.627446     246.627807     246.627982
335000      20.000000     0     0.192852     246.662215     246.622355     0.000000
336000      19.000000     2     0.197292     246.627446     246.627807     246.627984
