Iter,TotTime,m_block,Alpha,Theta0,Theta_fin,V_theta_fin,V_block_fin,Wind_x,Wind_y,Vrelx,Vrely,F_vinc,Tension,Lift,Drag,Stability
1000000, 100.00, 100.00, -4.00, 0.79, 1.73, 0.19, -0.00, 18.00, 0.00, -27.21, -1.52, 507.24, 480.17, 568.63, 11.37, 0
1000000, 100.00, 100.00, -4.00, 0.79, 1.31, -0.02, -0.00, 20.00, 0.00, -18.87, -0.30, 817.30, 169.35, 272.66, 5.45, 0
1000000, 100.00, 100.00, -4.00, 0.79, 1.68, -0.06, 0.00, 22.00, 0.00, -19.12, 0.32, 801.03, 181.11, 279.97, 5.60, 0
1000000, 100.00, 100.00, -4.00, 0.79, 1.43, 0.03, 0.00, 24.00, 0.00, -25.50, 0.21, 584.29, 400.57, 497.75, 9.95, 0
1000000, 100.00, 100.00, -4.00, 0.79, 1.63, -0.01, -0.00, 26.00, 0.00, -25.67, 0.02, 575.63, 406.15, 504.39, 10.09, 0
1000000, 100.00, 100.00, -4.00, 0.79, 1.49, -0.03, 0.00, 28.00, 0.00, -26.26, -0.14, 554.59, 427.69, 527.78, 10.56, 0
1000000, 100.00, 100.00, -4.00, 0.79, 1.56, 0.05, -0.00, 30.00, 0.00, -32.55, 0.02, 266.48, 714.54, 811.16, 16.22, 0
1000000, 100.00, 100.00, -4.00, 0.79, 1.56, -0.04, -0.00, 32.00, 0.00, -30.12, -0.02, 383.62, 597.40, 694.57, 13.89, 0
1000000, 100.00, 100.00, -4.00, 0.79, 1.53, 0.02, 0.00, 34.00, 0.00, -34.97, 0.04, 143.22, 838.62, 936.42, 18.73, 0
1000000, 100.00, 100.00, -4.00, 0.79, 1.56, -0.04, -0.00, 36.00, 0.00, -34.01, -0.02, 192.78, 788.26, 885.36, 17.71, 0
1000000, 100.00, 100.00, -4.00, 0.79, 1.52, -0.01, 0.53, 38.00, 0.00, -36.87, -0.03, 39.63, 942.37, 1040.58, 20.81, 0
1000000, 100.00, 100.00, -4.00, 0.79, 1.54, -0.01, -0.00, 40.00, 0.00, -39.69, -0.01, -126.95, 1108.35, 1206.13, 24.12, 0
35569, 3.56, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.01, -518.35, 592.97, 14.82, 0
43342, 4.33, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 981.01, -483.61, 537.20, 13.43, 0
59670, 5.97, 100.00, -2.00, 0.79, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 981.00, -164.05, 202.78, 5.07, 0
1000000, 100.00, 100.00, -2.00, 0.79, 0.87, 0.24, 7.44, 6.00, 0.00, -7.56, 7.61, 744.46, 309.63, 352.54, 8.81, 0
1000000, 100.00, 100.00, -2.00, 0.79, 1.86, 0.30, 4.80, 8.00, 0.00, -17.55, -4.24, 81.30, 938.13, 998.36, 24.96, 0
1000000, 100.00, 100.00, -2.00, 0.79, 1.48, 0.00, 0.00, 10.00, 0.00, -10.02, 0.00, 772.46, 209.37, 307.62, 7.69, 0
1000000, 100.00, 100.00, -2.00, 0.79, 1.53, 0.00, 0.00, 12.00, 0.00, -12.19, 0.01, 625.19, 356.16, 455.27, 11.38, 0
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, -0.00, 0.00, 14.00, 0.00, -13.82, -0.01, 494.59, 486.66, 585.22, 14.63, 0
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, -0.00, 0.00, 16.00, 0.00, -15.96, -0.00, 298.28, 682.97, 780.52, 19.51, 0
1000000, 100.00, 100.00, -2.00, 0.79, 1.53, -0.01, 0.00, 18.00, 0.00, -17.34, -0.03, 159.00, 822.73, 920.41, 23.01, 0
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, -0.00, 0.00, 20.00, 0.00, -19.99, -0.00, -144.41, 1125.82, 1223.43, 30.59, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, 0.00, 22.00, 0.00, -22.01, 0.00, -404.03, 1385.52, 1483.66, 37.09, 0
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, -0.00, -0.00, 24.00, 0.00, -24.00, -0.00, -684.93, 1666.51, 1763.42, 44.09, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, 0.00, 26.00, 0.00, -26.00, 0.00, -990.13, 1971.81, 2070.40, 51.76, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, 0.00, 28.00, 0.00, -28.00, 0.00, -1320.34, 2302.13, 2400.98, 60.02, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, -0.00, -0.00, 30.00, 0.00, -30.00, -0.00, -1678.67, 2660.56, 2756.21, 68.91, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.54, 0.00, 0.00, 32.00, 0.00, -32.00, 0.00, -2058.83, 3040.85, 3136.01, 78.40, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, 0.00, 0.00, 34.00, 0.00, -34.00, 0.00, -2458.36, 3440.50, 3540.21, 88.51, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, -0.00, -0.00, 36.00, 0.00, -36.00, -0.00, -2892.60, 3874.87, 3968.99, 99.22, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, -0.00, -0.00, 38.00, 0.00, -38.00, -0.00, -3346.25, 4328.67, 4422.22, 110.56, 1
1000000, 100.00, 100.00, -2.00, 0.79, 1.55, 0.00, 0.00, 40.00, 0.00, -40.00, 0.00, -3816.67, 4799.23, 4899.97, 122.50, 1
45565, 4.56, 100.00, 0.00, 0.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 981.00, -337.26, 354.87, 10.14, 0
55678, 5.57, 100.00, 0.00, 0.79, 0.00, 0.00, 0.00, 2.00, 0.00, -2.00, 0.00, 981.00, -355.04, 381.95, 10.91, 0
114014, 11.40, 100.00, 0.00, 0.79, 0.00, 0.00, 0.00, 4.00, 0.00, -4.00, 0.00, 981.00, -52.21, 113.45, 3.24, 0
1000000, 100.00, 100.00, 0.00, 0.79, 1.59, 0.02, 0.00, 6.00, 0.00, -6.85, -0.02, 827.83, 153.21, 251.31, 7.18, 0
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, -0.00, 0.00, 8.00, 0.00, -7.79, -0.01, 754.18, 226.92, 324.83, 9.28, 0
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 10.00, 0.00, -10.02, 0.00, 541.67, 439.59, 538.20, 15.38, 0
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, -0.00, 12.00, 0.00, -12.01, 0.00, 306.25, 675.11, 772.52, 22.07, 0
1000000, 100.00, 100.00, 0.00, 0.79, 1.53, -0.01, 0.00, 14.00, 0.00, -13.48, -0.02, 105.39, 876.41, 974.07, 27.83, 0
1000000, 100.00, 100.00, 0.00, 0.79, 1.54, 0.00, 0.00, 16.00, 0.00, -16.00, 0.00, -292.45, 1274.05, 1372.03, 39.20, 1
