episode,epsilon,Alpha,steps,return
292,0.900000,0.010000,2000001,359.820328
293,0.900000,0.010000,2000001,357.199360
294,0.900000,0.010000,2000001,358.555381
295,0.900000,0.010000,2000001,357.144222
296,0.900000,0.010000,2000001,357.329497
297,0.900000,0.010000,2000001,357.223703
298,0.900000,0.010000,2000001,358.745665
299,0.900000,0.010000,2000001,357.338508
300,0.900000,0.010000,2000001,355.951591
301,0.900000,0.010000,2000001,357.252092
302,0.900000,0.010000,2000001,359.034745
303,0.900000,0.010000,2000001,357.273126
304,0.900000,0.010000,2000001,360.306741
305,0.900000,0.010000,2000001,362.769841
306,0.900000,0.010000,2000001,363.198107
307,0.900000,0.010000,2000001,360.325200
308,0.900000,0.010000,2000001,358.663858
309,0.900000,0.010000,2000001,357.424220
310,0.900000,0.010000,2000001,355.964196
311,0.900000,0.010000,563225,120.463147
312,0.900000,0.010000,523532,110.641533
313,0.900000,0.010000,2000001,356.916089
314,0.900000,0.010000,2000001,357.474145
315,0.900000,0.010000,2000001,359.149025
316,0.900000,0.010000,2000001,357.332663
317,0.900000,0.010000,2000001,357.236750
318,0.900000,0.010000,2000001,360.234718
319,0.900000,0.010000,2000001,358.660467
320,0.900000,0.010000,2000001,357.134173
321,0.900000,0.010000,2000001,357.486855
322,0.900000,0.010000,2000001,357.375398
323,0.900000,0.010000,2000001,357.323456
324,0.900000,0.010000,2000001,357.179537
325,0.900000,0.010000,2000001,359.522480
326,0.900000,0.010000,2000001,362.711946
327,0.900000,0.010000,2000001,363.228343
328,0.900000,0.010000,2000001,360.331445
329,0.900000,0.010000,2000001,363.237614
330,0.900000,0.010000,2000001,362.816218
331,0.900000,0.010000,2000001,363.210615
332,0.900000,0.010000,2000001,363.008450
333,0.900000,0.010000,2000001,361.879991
334,0.900000,0.010000,2000001,362.952243
335,0.900000,0.010000,2000001,362.626505
336,0.900000,0.010000,2000001,356.525473
337,0.900000,0.010000,2000001,349.762607
338,0.900000,0.010000,2000001,356.642653
339,0.900000,0.010000,2000001,363.019036
340,0.900000,0.010000,2000001,362.557190
341,0.900000,0.010000,2000001,356.638084
342,0.900000,0.010000,2000001,349.848763
343,0.900000,0.010000,2000001,357.105861
344,0.900000,0.010000,2000001,356.638485
345,0.900000,0.010000,2000001,362.954521
346,0.900000,0.010000,2000001,363.043207
347,0.900000,0.010000,2000001,363.626391
348,0.900000,0.010000,2000001,361.385906
349,0.900000,0.010000,2000001,363.085331
350,0.900000,0.010000,2000001,363.089885
351,0.900000,0.010000,2000001,362.648649
352,0.900000,0.010000,2000001,356.625730
353,0.900000,0.010000,2000001,349.975899
354,0.900000,0.010000,2000001,356.633393
355,0.900000,0.010000,2000001,349.837822
356,0.900000,0.010000,2000001,356.755298
357,0.900000,0.010000,2000001,363.088782
358,0.900000,0.010000,2000001,362.720657
359,0.900000,0.010000,2000001,362.755887
360,0.900000,0.010000,2000001,360.370489
361,0.900000,0.010000,2000001,358.613479
362,0.900000,0.010000,2000001,357.304176
363,0.900000,0.010000,2000001,360.391069
364,0.900000,0.010000,2000001,358.579867
365,0.900000,0.010000,2000001,357.278296
366,0.900000,0.010000,2000001,357.291796
367,0.900000,0.010000,2000001,357.234067
368,0.900000,0.010000,2000001,355.893775
369,0.900000,0.010000,563084,120.154761
370,0.900000,0.010000,819422,183.302252
371,0.900000,0.010000,719511,157.930111
372,0.900000,0.010000,635782,137.001816
373,0.900000,0.010000,701149,153.794676
374,0.900000,0.010000,784738,173.489268
375,0.900000,0.010000,613716,139.477327
376,0.900000,0.010000,734905,164.077554
377,0.900000,0.010000,807796,182.205494
378,0.900000,0.010000,825449,184.713786
379,0.900000,0.010000,847212,201.787722
380,0.900000,0.010000,619183,143.083704
381,0.900000,0.010000,644095,131.167721
382,0.900000,0.010000,244965,21.966870
383,0.900000,0.010000,2000001,32.734917
384,0.900000,0.010000,430518,95.154277
385,0.900000,0.010000,2000001,33.966063
386,0.900000,0.010000,305893,58.107410
387,0.900000,0.010000,282753,25.652815
388,0.900000,0.010000,400804,73.499510
389,0.900000,0.010000,428798,79.985638
390,0.900000,0.010000,822750,147.584262
391,0.900000,0.010000,757409,146.335114
392,0.900000,0.010000,1004492,200.341339
393,0.900000,0.010000,340010,68.397626
394,0.900000,0.010000,402516,82.500391
395,0.900000,0.010000,383356,77.101408
396,0.900000,0.010000,483780,49.112971
397,0.900000,0.010000,358181,54.721032
