episode,alpha_idx,action_0,action_1,action_2
160,7,391.244894,389.148428,396.626828
160,8,396.167781,393.319375,398.677878
160,9,397.084619,398.207818,399.149392
160,10,396.708860,397.343940,398.586179
160,11,396.361562,394.649652,398.200044
160,12,396.790417,398.072046,399.158689
160,13,396.548108,397.389704,398.843696
160,14,394.835565,397.335152,396.156136
160,15,396.114808,392.957236,0.000000

200,0,0.000000,386.938015,392.916216
200,1,393.191742,388.733337,394.840926
200,2,397.086854,395.225905,397.820888
200,3,395.030721,390.928282,396.321569
200,4,392.946732,390.257560,393.315565
200,5,386.567491,388.283096,391.229674
200,6,392.783433,388.084756,393.938412
200,7,391.575281,389.960243,396.147919
200,8,392.614138,390.864086,395.820507
200,9,393.934278,393.190283,396.556543
200,10,392.883214,394.449269,397.418523
200,11,395.453439,395.129220,397.842351
200,12,396.013713,394.109704,397.328100
200,13,397.784046,396.997305,395.063048
200,14,397.672799,396.581635,394.853637
200,15,397.513242,395.077554,0.000000

240,0,0.000000,386.938015,392.916216
240,1,393.191742,388.733337,394.840926
240,2,397.086854,395.225905,397.820888
240,3,395.030721,390.928282,396.321569
240,4,392.946732,390.257560,393.315565
240,5,386.567491,388.283096,391.608156
240,6,392.514328,388.686730,392.511122
240,7,387.622691,384.942991,390.393121
240,8,386.741215,387.792028,386.393988
240,9,390.822479,390.071726,393.803091
240,10,394.314369,394.345202,395.851520
240,11,393.926668,392.263650,395.543977
240,12,395.719100,395.253463,397.028324
240,13,393.106316,394.911048,396.121950
240,14,397.008242,396.570790,395.952225
240,15,398.121242,396.578847,0.000000

280,0,0.000000,386.938015,392.916216
280,1,393.191742,388.733337,394.840926
280,2,397.086854,395.225905,397.820888
280,3,395.030721,390.928282,396.321569
280,4,392.946732,390.257560,393.315565
280,5,386.567491,388.283096,391.608156
280,6,392.514328,388.686730,392.511122
280,7,387.622691,384.942991,390.393121
280,8,386.741215,387.792028,386.393988
280,9,390.822479,390.109416,393.867477
280,10,394.263249,394.377834,395.999101
280,11,394.509412,393.721476,396.319926
280,12,395.204355,394.681202,395.971950
280,13,394.887159,392.256085,393.456762
280,14,395.802508,393.966169,392.957152
280,15,395.642691,393.728302,0.000000

320,0,0.000000,386.938015,392.916216
320,1,393.191742,388.733337,394.840926
320,2,397.086854,395.225905,397.820888
320,3,395.030721,390.928282,396.321569
320,4,392.946732,390.257560,393.290278
320,5,386.706239,388.356999,391.948571
320,6,392.172204,388.761221,392.136020
320,7,388.361478,385.154929,389.839039
320,8,384.482539,381.958233,391.157998
320,9,387.600540,392.211113,392.595051
320,10,391.359829,388.745479,390.917557
320,11,392.993533,392.745655,392.204276
320,12,394.432783,393.969695,393.428332
320,13,395.212625,394.589038,395.137958
320,14,395.671691,393.997421,393.070497
320,15,395.653823,393.728302,0.000000

360,0,0.000000,386.938015,392.916216
360,1,393.191742,388.733337,394.840926
360,2,397.086854,395.225905,397.820888
360,3,395.030721,390.928282,396.321569
360,4,392.946732,390.257560,393.290278
360,5,386.706239,388.356999,391.948571
360,6,392.172204,388.761221,392.136020
360,7,388.361478,385.203287,390.254935
360,8,385.909754,384.319246,390.807933
360,9,390.547636,388.789178,390.942564
360,10,391.763939,390.992256,393.434656
360,11,392.897072,392.682019,390.224794
360,12,394.193200,391.493856,392.099776
360,13,393.933959,392.588759,390.784173
360,14,394.429586,393.398712,391.135671
360,15,394.419705,391.814452,0.000000

400,0,0.000000,375.604529,376.662378
400,1,381.995928,376.620918,382.759356
400,2,385.540310,383.901823,386.612591
400,3,390.857095,385.599883,384.964619
400,4,388.111534,385.505619,382.479834
400,5,387.804495,383.971578,382.684792
