t,x_kite,z_kite,x_block,z_block,theta,vtheta,windx,windy,v_block,Tension
120000,73.399151,11.105559,24.648084,0.000000,0.223980,-0.036287,20.000000,0.000000,18.771609,-50.881130
121000,73.591413,11.084637,24.835584,0.000000,0.223551,-0.037241,20.000000,0.000000,18.728418,-38.459382
122000,73.783325,11.063266,25.022643,0.000000,0.223112,-0.037868,20.000000,0.000000,18.683279,-56.554925
123000,73.974879,11.041475,25.209257,0.000000,0.222665,-0.038725,20.000000,0.000000,18.639633,-42.644312
124000,74.166062,11.019300,25.395425,0.000000,0.222211,-0.039224,20.000000,0.000000,18.593939,-61.567256
125000,74.356866,10.996769,25.581144,0.000000,0.221749,-0.039982,20.000000,0.000000,18.549894,-46.286017
126000,74.547280,10.973919,25.766412,0.000000,0.221280,-0.040353,20.000000,0.000000,18.503723,-65.828825
127000,74.737296,10.950778,25.951227,0.000000,0.220806,-0.041013,20.000000,0.000000,18.459343,-49.323560
128000,74.926902,10.927383,26.135588,0.000000,0.220326,-0.041254,20.000000,0.000000,18.412781,-69.273262
129000,75.116090,10.903761,26.319492,0.000000,0.219842,-0.041816,20.000000,0.000000,18.368133,-51.713495
130000,75.304852,10.879950,26.502939,0.000000,0.219354,-0.041931,20.000000,0.000000,18.321270,-71.856419
131000,75.493179,10.855976,26.685928,0.000000,0.218863,-0.042395,20.000000,0.000000,18.276426,-53.429041
132000,75.681062,10.831876,26.868456,0.000000,0.218369,-0.042384,20.000000,0.000000,18.229356,-73.554847
133000,75.868494,10.807676,27.050525,0.000000,0.217874,-0.042754,20.000000,0.000000,18.184388,-54.458677
134000,76.055467,10.783411,27.232132,0.000000,0.217377,-0.042619,20.000000,0.000000,18.137207,-74.363588
135000,76.241976,10.759109,27.413279,0.000000,0.216879,-0.042896,20.000000,0.000000,18.092187,-54.804261
136000,76.428010,10.734803,27.593965,0.000000,0.216381,-0.042641,20.000000,0.000000,18.044988,-74.293464
137000,76.613567,10.710520,27.774190,0.000000,0.215884,-0.042826,20.000000,0.000000,17.999988,-54.478816
138000,76.798638,10.686292,27.953953,0.000000,0.215388,-0.042454,20.000000,0.000000,17.952864,-73.368016
139000,76.983218,10.662144,28.133257,0.000000,0.214893,-0.042551,20.000000,0.000000,17.907954,-53.504117
140000,77.167302,10.638110,28.312102,0.000000,0.214402,-0.042065,20.000000,0.000000,17.860993,-71.620276
141000,77.350885,10.614213,28.490488,0.000000,0.213912,-0.042075,20.000000,0.000000,17.816239,-51.908178
142000,77.533962,10.590485,28.668416,0.000000,0.213427,-0.041480,20.000000,0.000000,17.769525,-69.089503
143000,77.716529,10.566950,28.845888,0.000000,0.212945,-0.041406,20.000000,0.000000,17.724990,-49.722771
144000,77.898582,10.543637,29.022906,0.000000,0.212468,-0.040703,20.000000,0.000000,17.678604,-65.818002
145000,78.080117,10.520570,29.199470,0.000000,0.211996,-0.040548,20.000000,0.000000,17.634348,-46.981030
146000,78.261130,10.497779,29.375583,0.000000,0.211530,-0.039742,20.000000,0.000000,17.588365,-61.848113
147000,78.441618,10.475285,29.551247,0.000000,0.211070,-0.039508,20.000000,0.000000,17.544443,-43.715207
148000,78.621579,10.453118,29.726463,0.000000,0.210616,-0.038600,20.000000,0.000000,17.498935,-57.219420
149000,78.801010,10.431298,29.901235,0.000000,0.210170,-0.038289,20.000000,0.000000,17.455401,-39.954607
150000,78.979908,10.409855,30.075563,0.000000,0.209732,-0.037283,20.000000,0.000000,17.410434,-51.966200
151000,79.158272,10.388809,30.249452,0.000000,0.209301,-0.036895,20.000000,0.000000,17.367338,-35.723706
152000,79.336098,10.368189,30.422903,0.000000,0.208880,-0.035792,20.000000,0.000000,17.322976,-46.115091
153000,79.513387,10.348014,30.595919,0.000000,0.208467,-0.035330,20.000000,0.000000,17.280367,-31.040423
154000,79.690135,10.328312,30.768504,0.000000,0.208065,-0.034131,20.000000,0.000000,17.236672,-39.682951
155000,79.866342,10.309104,30.940660,0.000000,0.207672,-0.033594,20.000000,0.000000,17.194596,-25.914525
156000,80.042006,10.290418,31.112390,0.000000,0.207290,-0.032300,20.000000,0.000000,17.151630,-32.674832
157000,80.217127,10.272272,31.283699,0.000000,0.206919,-0.031689,20.000000,0.000000,17.110133,-20.346081
158000,80.391703,10.254697,31.454588,0.000000,0.206560,-0.030299,20.000000,0.000000,17.067957,-25.081975
159000,80.565734,10.237711,31.625063,0.000000,0.206213,-0.029613,20.000000,0.000000,17.027087,-14.323912
160000,80.739219,10.221342,31.795127,0.000000,0.205878,-0.028125,20.000000,0.000000,16.985764,-16.879737
161000,80.912158,10.205613,31.964783,0.000000,0.205557,-0.027363,20.000000,0.000000,16.945572,-7.823933
162000,81.084549,10.190550,32.134036,0.000000,0.205249,-0.025776,20.000000,0.000000,16.905169,-8.025313
